"Taxon"	"BCD1"	"BCD2"	"BCP1"	"BCP2"	"BD1"	"BD4"	"BP1"	"BP4"	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD8"	"CP1"	"CP2"	"CP3"	"CP4"	"CP5"	"CP8"
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Other"	0.0002508151	0	"9.94381743151e-05"	0	0	0	0	0	0.000743205	0	0	0	0	0.0001312049	0.000274631	0.0002497295	"7.82686964349e-05"	0	0	"3.71002448616e-05"
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella"	0	0	"4.97190871576e-05"	0	0	0	0	0	0.0024065685	0.0028202529	0.002137323	"2.33852485852e-05"	0	0	0.0009955372	0.0015399983	0.0010957618	0	0	"7.42004897232e-05"
"Bacteria;Bacteroidetes;Other;Other;Other;Other"	0.0022573363	0.003003003	0.0021876398	0.0071770335	0	0.0049261084	0.012345679	0.0080645161	0.0198541903	0.0058167717	0.056906225	0.000654787	0.0062758522	0.0006560245	0.0024888431	0.0018313494	0.0066919735	0.0020797963	0.0034093676	0.0003339022
"Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Spirosoma"	0.0001254076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Other;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4.24448217317e-05"	0	0
"Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter"	0	0	"4.97190871576e-05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Streptophyta;Other"	0	0	0	0	0	0	0	0	0	0	"5.34330750735e-05"	0	0	0	"3.43288705802e-05"	0	"3.91343482174e-05"	0	0	0
"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum"	0	0	0	0	0	0	0	0	0	0	0.0001068662	0.0006314017	0.000427899	"4.37349661054e-05"	0	0	"7.82686964349e-05"	"8.48896434635e-05"	0.0002435263	0
"Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other"	0.0003762227	0	"4.97190871576e-05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001113007
"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus"	0.0001254076	0	0	0	0	0	0	0	0	0	0	0	0	0.0007434944	"5.14933058702e-05"	0	0	0	0	0.0010388069
"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Other"	0.0007524454	0.006006006	0.0010441008	0.0023923445	0	0	0	0	"3.53907134768e-05"	"4.40664522099e-05"	0.0005343308	0	0	0.0019243385	"1.71644352901e-05"	0	0.000117403	0	0	0.0047859316
"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	0.0005016303	0.003003003	0.0010938199	0.0071770335	0	0.0049261084	0	0	"7.07814269536e-05"	0	0.0002671654	"2.33852485852e-05"	0	0.0018806035	"1.71644352901e-05"	0	0.000117403	0	0	0.0065296431
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3.71002448616e-05"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001113007
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus"	0	0	0	0	0	0	0	0	0	0	0	"9.35409943408e-05"	0	"4.37349661054e-05"	0	0	0	0	0	"7.42004897232e-05"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	0.1182593429	0.033033033	0.0656789141	0.0311004785	0.0403587444	0.0541871921	0.049382716	0.0322580645	0.4529657418	0.4871986956	0.2855997863	0.1829895702	0.3361859934	0.51616007	0.2699279094	0.149629568	0.0651586898	0.1707555178	0.2210406689	0.2500185501
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other"	0.0002508151	0	"9.94381743151e-05"	0	0	0	0	0	0.0009201586	0.0007050632	0.0005877638	0.0012160329	0.000285266	0.0008309644	0.000669413	0.00079081	0.0009783587	0.0017402377	0.0012176313	0.0004823032
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other"	0.0062703787	0	0.0051707851	0	0.0044843049	0.0049261084	0	0	0.0106526048	0.0096064866	0.0125033396	0.0051213694	0.0018542291	0.0084845834	0.0053724682	0.004911346	0.0028959418	0.0101867572	0.0103092784	0.0039697262
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	0.0002508151	0	"9.94381743151e-05"	0	0	0	0	0	0.0002123443	0	0.0002671654	0	0	"4.37349661054e-05"	0.0004634398	"4.16215766253e-05"	0	0	0	0
"Bacteria;Firmicutes;Bacilli;Other;Other;Other"	0.0016302985	0	0.0013921344	0	0	0	0	0	0.0005308607	0.0012779271	0.0009083623	0.000280623	0.000427899	0.0017056637	0.0004634398	0.000291351	0.0001565374	0.0004244482	0.0019482101	0.0014840098
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	"4.40664522099e-05"	0	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other"	0	0	0	0	0	0	0.0061728395	0	0	0	0.0001602992	0.0001403115	0	0	0	0	0	0.0005942275	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Anaerovorax"	0	0	"4.97190871576e-05"	0	0	0	0	0	0	0	0	0	0.001141064	0	0	"4.16215766253e-05"	0.000117403	0	0.0004058771	"3.71002448616e-05"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	"4.37349661054e-05"	0	0	0	0	0	0
